gene,d5_mean,d14_mean,d28_mean
Cdca7,260.004484,181.7572658,121.3436553
36951,58.78721236,60.01632681,57.4125828
Vps13d,372.0040601,404.5404654,386.1170998
0,63.30102864,64.79640064,64.94112079
0,109.6260932,98.99592182,79.82636219
Fam3a,58.8257216,60.53993023,60.30543434
0,52.28264502,63.83543743,62.65312561
Cd99,815.7220883,938.1037025,1256.70582
Ccdc117,68.57211861,63.23357898,64.31251424
0,86.14663171,80.42205664,79.86161073
Qprt,2426.397026,2662.52263,2221.996831
Pgrmc2,57.96191799,60.65373471,59.01195208
Cml2,64.6650456,64.156333,65.93868482
0,81.16387168,77.19170271,77.98587482
Slc25a30,379.5492035,296.712869,253.0781382
Sar1a,72.86658592,71.1519162,69.74646399
Tob2,70.21410038,66.22950465,67.46991815
Gbas,58.35739072,60.90214187,59.02587435
Fam20b,66.67039747,60.84651036,61.48739594
Atg2a,61.84085666,63.90785737,54.25439831
0,85.6852589,82.82690846,77.90106922
0,63.53190854,61.37832019,65.14892525
Slc45a3,58.63716803,69.90944424,68.09756138
Yae1d1,60.36026685,61.06321357,59.57512043
Zbtb39,59.81296215,56.04568648,58.79664718
G3bp2,79.28146184,82.03228728,80.64984143
0,67.54836789,60.51971705,62.92271991
0,58.12422215,56.29978062,63.66494832
Rimbp2,62.41868318,58.81120468,60.10022924
0,54.64223494,58.03777671,61.35179047
Leprotl1,66.87919215,62.49885245,63.23150912
Gjc2,66.85613048,88.88254907,111.6051532
0,60.675284,59.49855993,57.60984262
Reep6,65.45135539,66.54381655,64.77368275
0,58.67091596,62.95400518,61.11787726
Mccc1,62.44980928,56.89164083,59.12310211
0,60.82458869,58.17529417,61.4885891
Lhpp,1238.544768,1606.838276,2353.696529
St6galnac4,82.06870024,90.58434019,81.29434877
Cmtm6,66.08234088,71.19644262,69.17951274
Sema5a,68.03063549,69.0517381,69.48018082
0,55.18334803,60.81468242,61.07551869
Lrrc61,68.01404484,65.88157474,67.13570204
Hexb,391.268861,385.5973107,231.6401449
0,65.09258344,72.06026428,69.62991009
0,71.04138549,70.62495438,70.10447029
0,60.0059923,55.6242162,59.6604399
0,254.3102017,279.7862252,261.9806072
0,56.39329632,65.61071765,61.44267729
Igfbp4,67.91442441,67.32674452,64.97869044
0,56.17279561,61.04828739,57.74877001
Pon2,3672.844802,4395.205481,4583.133741
Med1,56.62619357,62.36115073,60.34130352
Dcaf11,110.7060168,122.8905925,106.5324094
Dcun1d4,62.3963307,61.50981708,67.20251264
Klhl25,63.86903649,64.71929968,62.17147693
0,73.95410522,78.51438657,71.95847967
Tor3a,457.8035192,440.8636228,380.0575915
Dhrs1,78.72007721,74.78038918,80.80664189
0,65.30400978,66.07820716,66.79276442
0,67.95185195,65.95744859,58.97119792
Mpp7,260.2440664,155.381328,156.8678442
Sfr1,64.98856142,64.39413517,62.95179291
Snn,78.65022899,70.63435705,67.49237269
Dcaf8,74.42727476,80.99312088,79.54585192
Tmigd1,73.00530245,74.38861067,71.48810496
Chd6,63.71798406,71.32034843,61.70216624
0,114.0286843,87.1723104,79.37602837
0,57.00436035,59.05882881,59.75026232
Nsd1,68.80631099,65.15249232,69.06430754
0,68.00447675,71.98696591,68.52773026
Isyna1,984.9234602,1261.227202,1173.109354
0,77.42044156,79.59000234,74.64021588
0,60.98640329,62.00169558,63.85706345
Slc22a23,69.32589463,71.86923089,68.73843377
0,68.59149509,72.0868777,71.05657846
Dnajb11,163.9103789,145.1054621,130.5778202
Angptl4,117.9095965,102.1429228,96.1251836
0,67.67385012,66.34697601,64.09042113
0,73.40238421,70.2460775,65.15196556
Uhrf2,89.82711752,79.99799617,83.82082991
0,67.44077244,82.28365845,98.35903543
0,66.11888152,63.27421238,67.02213232
0,85.79233185,90.36516747,96.81593196
Mob1a,57.28860868,61.31427483,62.83776101
Etnk1,64.55311,61.77583439,61.98108568
0,56.95568709,53.05821971,60.0142449
Pacsin3,270.6138789,356.6346865,605.8081967
0,63.61956521,60.14073011,62.44209427
0,71.95547182,69.6890969,69.51083249
Gatad2a,59.96185239,59.08730153,67.93493997
Cndp2,76.98103221,74.7625911,71.86823611
Reep1,61.95084486,57.69947607,60.92558099
Ube2o,59.30643007,57.64844579,60.01099562
Lpar2,81.11543225,84.09188299,80.3540528
0,97.68638668,98.89286271,100.5888372
0,60.30508811,65.42566734,65.12066814
Acsm5,63.12086146,57.54461067,61.51312915
Phyhip,65.48638906,63.00899596,68.15348005
0,67.45347128,62.9061436,64.52036271
0,54.56587933,62.45533903,57.1216577
Slc39a1,58.22005989,58.10593525,56.73260928
Plekhh1,71.56993741,79.29950147,67.31397376
Zmiz1,68.10971669,66.11790928,62.40967078
Ipo9,56.52216694,56.33039499,57.82226154
Tmem192,100.1980463,106.8537931,90.80725186
0,57.97566473,59.83975771,53.71494835
0,67.8429044,65.01093366,69.05621527
Kif5c,88.9124768,77.15887463,80.72614173
Tsc22d1,63.19935826,60.93856486,59.16775287
Slc4a4,88.41416502,182.1469495,240.6032182
0,61.31806919,58.11185219,60.03596206
0,58.51994917,61.45805845,63.37888639
Il33,75.11639769,70.90707,62.96363807
Gypc,83.73094624,78.34430693,85.36116403
Rab6b,63.34790332,61.91769609,63.95718062
0,61.84154491,60.34320416,61.15406086
Eif4g2,70.58650593,67.73971952,67.5294596
0,63.04164108,61.17427019,61.19269186
Idua,66.26616026,68.53263591,68.2923619
0,73.29382936,73.08265477,71.00392506
0,58.67271281,59.77140715,62.44656464
Ccnl2,86.49589281,81.15551936,74.84852824
0,70.70178832,79.27522387,70.2015409
Rbm14,176.0825433,178.6636225,165.0900783
0,78.64076172,87.67557399,68.26111135
0,59.90347218,62.32963807,64.05103385
0,77.48529142,78.69038042,75.34493189
Glyctk,71.9048106,76.05404802,71.33183638
Brf1,76.60932941,75.72952543,74.31757081
Tmem140,1438.222271,905.5868271,791.7066939
0,60.8429364,56.70284358,62.55904927
0,77.97242637,86.67109848,113.8150336
0,64.96679715,64.66123826,61.33214659
0,60.88864433,60.77044074,56.63663103
Fut8,62.50062428,61.07378644,60.6957343
0,62.00969347,61.34095561,60.71186303
Fzd4,63.27802945,59.14089356,60.01369266
Coq9,411.6532666,437.5794344,436.4081215
0,69.05603733,72.67042826,72.38344266
0,68.89268716,70.24297228,69.30189829
Ankrd52,64.06256649,61.61070092,68.66896435
Smim20,70.41273495,70.69768767,67.41408103
Tlr5,64.32886527,62.08087184,61.70182905
Car8,68.66156099,71.42387455,71.62834525
Rgcc,61.11875496,64.40218986,68.56143169
Abhd1,64.24088759,68.82807611,78.123877
Hba2///Hba1,91.65445197,86.68365741,89.90599584
Fndc3b,133.6692679,132.2784015,118.8682646
Acap2,56.61405198,53.8333458,54.86374756
Sorcs2,62.75352106,64.60464491,64.92211099
